I_initial,I_final,Energy_E2,Energy_M1,Level_energy,norm_population
3.5,3.5,0,0,0.0,0.037037037037037035
4.5,3.5,0,43,43.0,0.037037037037037035
5.5,4.5,113,70,113.0,0.037037037037037035
6.5,5.5,149,79,192.0,0.037037037037037035
7.5,6.5,170,91,283.0,0.037037037037037035
8.5,7.5,203,112,395.0,0.037037037037037035
9.5,8.5,225,112,507.0,0.1111111111111111
10.5,9.5,255,132,639.0,0.1111111111111111
11.5,10.5,275,143,782.0,0.1111111111111111
12.5,11.5,303,160,942.0,0.1111111111111111
13.5,12.5,324,164,1106.0,0.1111111111111111
14.5,13.5,348,184,1290.0,0.1111111111111111
15.5,14.5,370,186,1476.0,0.037037037037037035
16.5,15.5,390,204,1580.0,0.037037037037037035
17.5,16.5,410,206,1886.0,0.037037037037037035
