I_initial,I_final,Energy_E2,Energy_M1,Level_energy,norm_population
8,8,0,0,1199.2,0.1447368421052632
9,8,0,111,1310.2,0.1710526315789474
10,8,236,125,1435.2,0.1447368421052632
11,10,260,135,1570.2,0.1447368421052632
12,10,283,148,1718.2,0.11842105263157897
13,12,305,158,1876.2,0.09210526315789475
14,12,329,170,2046.2,0.06578947368421054
15,14,350,179,2225.2,0.03947368421052632
16,14,372,192,2417.2,0.013157894736842108
17,16,393,199,2616.2,0.013157894736842108
18,16,415,214,2830.2,0.013157894736842108
19,18,435,221,3051.2,0.013157894736842108
20,18,456,235,3286.2,0.013157894736842108
21,20,474,239,3525.2,0.013157894736842108
